"State Wise and Month Wise Data for All State (2016-2018)"\n\nState,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
Maharashtra,241275,191636,201397,202538,196055,184233,167611,174088,183118,252441,254668,176978,184545,176905,229796,205755,218126,185399,188356,169426,216698,256516,318178,207378,246077,215588,249889,238382,220774,201111,195826,199956,208948,221853,255696,253351,7690567
Manipur,1573,2853,2954,2209,2333,2126,2963,2782,3123,3310,2012,1747,1539,1727,3149,1875,1946,3050,2985,1369,1245,3220,3071,3273,3360,1847,2500,2783,2799,2532,3759,3055,2632,3078,2779,2786,92344
Meghalaya,1954,1839,2106,1997,1867,2199,1874,2183,2186,1988,1895,1556,1912,1972,2601,3098,3081,2231,2272,2539,2355,2299,2636,1967,2549,1940,3329,3109,3467,2515,3233,3077,2632,2820,2886,1834,85998
Mizoram,1174,1068,1278,1102,1192,1169,1140,1363,1323,1362,1317,1310,1350,1567,2004,1529,1662,1468,1745,1510,1403,2130,1907,1765,1684,1690,1579,1641,2131,1880,2118,2190,1953,2368,2225,2292,58589
Nagaland,2126,2059,2352,2312,2023,2392,2267,2448,2419,2352,2166,1531,1980,1029,5756,3619,2026,2013,2202,2102,2562,2420,2093,1937,3275,2272,2957,3099,2554,2327,3007,2733,2746,3520,2300,1888,88864
Odisha,47698,51919,55917,56879,57743,55401,50722,47148,44487,57351,69522,52994,43640,58239,67134,73362,79770,57762,68871,55005,49631,86173,74908,54847,57258,68293,83183,87052,80191,73834,71916,60875,53620,74025,85410,63495,2276275
Puducherry,5770,5406,5636,5258,5466,6151,5938,6928,6313,5765,4768,3201,6159,5614,6879,5870,6273,8060,5435,5942,5153,5812,4235,3377,6845,5213,5741,5370,5694,6066,6216,6275,4944,5299,4559,3459,201090
Punjab,63426,65892,66123,58232,65356,62391,65699,67836,57781,72479,75623,61288,58428,62594,88620,78903,65429,68662,71136,56252,55973,83327,91411,65462,66776,61454,70492,65725,60100,71321,71760,77048,63527,67387,98615,71350,2473878
Rajasthan,100178,102018,94338,97290,113176,99773,101582,91641,91232,150703,153685,121956,87956,100225,144143,122802,109606,102292,97683,84183,103980,156958,168994,114792,113426,108234,123722,104930,126903,105770,118138,110700,102290,123270,204885,138175,4191629
Sikkim,449,459,494,489,455,496,443,477,472,401,431,321,323,373,508,493,512,433,433,416,420,455,527,457,501,456,505,605,606,604,673,666,638,630,698,529,17848
Tamil Nadu,143676,180970,176728,154080,143823,169432,164961,177192,174011,149679,171499,98310,147517,167144,198649,113959,173189,196472,155997,164955,158367,158108,161847,115441,184392,185186,171853,176434,183433,174607,194081,184902,191090,169894,168475,132677,5933030
Telangana,71467,78083,80780,70406,82813,83646,80864,61746,69663,77113,90721,72104,69915,72618,90298,88478,87215,77523,90470,77834,73315,97308,106538,78428,82586,83173,85306,90288,94128,93551,104166,88279,93392,85473,108476,86096,3024260
Tripura,3163,3122,3276,2888,3271,3658,2780,2958,3885,3808,3917,3063,2684,3093,3101,4333,3398,3207,3734,3638,3227,5365,5803,4633,4813,5076,5061,4819,6001,4977,3828,5129,5207,4960,6089,4690,146655
UT of DNH and DD,1794,1548,1609,1425,1536,1462,1348,1359,1383,1625,1591,1520,1599,1501,1903,1507,1751,1600,1444,1395,1497,1598,1958,1383,1477,897,2806,1830,2144,1656,1470,1438,1302,1863,1634,2250,58103
Uttar Pradesh,205403,210405,214502,257450,258249,220904,214271,185062,175685,226951,298421,163336,196641,218244,351949,290017,306477,272937,234602,197016,182896,313951,289007,222914,240295,234317,262152,298531,361738,307086,310646,245935,251891,230903,275981,331270,9058035
Uttarakhand,18864,15718,16993,17363,19931,19370,19193,16436,18403,19956,27958,13491,19378,17142,21035,23041,22244,19908,22859,20514,17098,22314,36521,22903,23063,20318,20820,23124,24565,20877,25759,21463,19184,24461,29494,29572,771333
West Bengal,73956,79815,74474,65079,89695,94035,80123,79422,84152,65737,82022,80205,75272,66416,96816,90233,90829,83920,92890,87884,82963,61105,114381,93722,67841,82957,113939,110490,110426,117531,85953,87362,60566,48835,94291,147895,3113232
Total,1807150,1824544,1842914,1806302,1933000,1902835,1769486,1732155,1706014,2072278,2223763,1616982,1712756,1735861,2354205,2018704,2099366,2025286,1902288,1812983,1864584,2350964,2562195,1868600,2192990,1990248,2290394,2226113,2410972,2196230,2229168,2050028,2015864,2107276,2515722,2284272,73054492
