"Maker and Month Wise Data for Chhattisgarh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"DULEVO INDIA PVT LTD","0","0","0","0","0","0","0","1","0","1"
"EICHER TRACTORS","203","219","129","167","98","201","253","252","7","1529"
"ENERGY ELECTRIC VEHICLES","7","7","9","2","7","6","8","6","1","53"
"ENTICE IMPEX PVT LTD","0","0","1","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","296","241","224","159","136","304","352","249","66","2027"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","37","25","23","22","22","21","23","23","0","196"
"EULER MOTORS PVT LTD","11","7","11","7","22","25","26","28","1","138"
"EVBHARAT RANGE PRIVATE LIMITED","1","0","1","1","0","1","0","0","0","4"
"EVCO AUTOMOBILES PVT LTD","0","0","1","1","4","2","5","0","2","15"
"EXIDE INDUSTRIES LTD","1","0","0","0","0","1","1","0","0","3"
"EXTRA FAST SOLUTIONS","11","9","5","3","5","7","11","5","1","57"
"FEDE INDUSTRIES PVT LTD","2","1","2","0","5","3","0","0","0","13"
"FORCE MOTORS LIMITED","145","134","81","101","42","51","96","85","7","742"
"G.K E-VEHICLS INDUSTRIES PVT LTD","116","106","136","103","138","203","146","147","17","1112"
"GAGAN AUTOMOTIVES","1","1","1","0","1","1","1","0","0","6"
"GAHIR AGRO INDUSTRIES LIMITED","0","4","0","0","1","0","0","0","0","5"
"GAYATRI ELECTRIC VEHICLES PVT LTD","0","0","2","1","0","2","2","0","0","7"
"GILL AGRICULTURE WORKS","2","5","3","0","0","0","0","0","0","10"
"GOBIND AGRO INDUSTRIES","0","0","0","1","3","0","2","0","1","7"
"GODAWARI ELECTRIC MOTORS PVT LTD","1","5","0","1","2","0","1","0","0","10"
"GODREJ & BOYCE MFG. CO. LTD","0","5","0","0","0","0","0","0","0","5"
"GRD MOTORS","1","1","0","0","0","0","0","0","0","2"
"GREAVES ELECTRIC MOBILITY LTD","49","75","78","60","67","114","109","64","8","624"
"GROMAX AGRI EQUIPMENT LTD","17","26","6","5","14","51","7","2","5","133"
"GURU NANAK AGRI ENGG WORKS","5","9","6","5","2","5","2","3","0","37"
"GURU NANAK AGRI WORKS","2","0","0","0","0","0","0","0","0","2"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","1","0","0","1","0","1","0","0","3"
"HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD","0","0","0","2","0","0","0","0","0","2"
"HERO MOTOCORP LTD","15749","14724","16488","11909","11312","12441","11278","9990","1435","105326"
"HIM TEKNOFORGE LTD","0","0","0","0","17","0","0","0","0","17"
"HIND AGRO INDUSTRIES","0","0","0","0","1","0","1","0","0","2"
"HIRA AGRO INDUSTRIES","1","0","1","0","0","0","0","0","0","2"
"HONDA CARS INDIA LTD","77","59","41","33","50","32","37","34","2","365"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","16615","13738","15235","12421","11801","13050","12326","11829","2103","109118"
"HOOGHLY MOTORS PVT LTD","0","0","1","0","1","1","0","0","0","3"
"HOTAGE INDIA","33","30","26","34","40","28","34","9","3","237"
"HYUNDAI MOTOR INDIA LTD","1622","1152","561","552","616","550","631","590","84","6358"
"INDIA KAWASAKI MOTORS PVT LTD","1","5","1","3","0","1","2","0","0","13"
"INDIA YAMAHA MOTOR PVT LTD","656","595","524","415","373","434","448","393","60","3898"
"INDO FARM EQUIPMENT LIMITED","16","11","6","6","12","10","3","23","0","87"
"INTERNATIONAL TRACTORS LIMITED","728","697","441","500","489","851","815","470","102","5093"
"IPL TECH ELECTRIC PVT LTD","10","5","0","0","0","0","0","0","0","15"
"ISUZU MOTORS INDIA PVT LTD","2","1","3","3","1","0","3","0","0","13"
"International Cars & Motors Limited","0","0","0","0","0","0","0","0","2","2"
"J. S. AUTO (P) LTD","1","1","0","2","2","2","1","1","0","10"
"JAGDAMBA TRAILERS PVT LTD","12","0","3","2","2","8","1","0","1","29"
"JAGUAR LAND ROVER INDIA LIMITED","16","21","9","6","1","13","12","2","0","80"
"JCB INDIA LIMITED","184","141","75","72","55","58","51","43","19","698"
"JESSUN TECHNO PVT LTD","0","0","0","3","0","0","0","1","0","4"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","533","495","434","366","392","567","722","509","71","4089"
"JSW MG MOTOR INDIA PVT LTD","71","79","85","71","107","74","72","50","0","609"
"K D AGRO INDUSTRIES","0","1","0","0","0","0","0","0","0","1"
"K.S. AGRICULTURAL INDUSTRIES PVT. LTD","0","6","3","0","0","0","2","0","0","11"
"K.S. AGROTECH  PVT LTD","11","14","7","12","0","5","4","8","7","68"
"KAINING (HONGKONG) (IMPORTER:RAILIES MOTO)","1","0","0","0","0","0","0","0","0","1"
"KAPTECH INDIA","22","20","8","17","10","20","19","24","3","143"
"KARMA MECHANICAL WORKS","1","0","0","0","0","0","0","0","0","1"
