"Maker and Month Wise Data for Andhra Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"VISHNU AGRO ENGINEERING WORKS AP315793502","1","0","0","7","5","11","0","11","3","38"
"VOLKSWAGEN AG","5","1","2","1","4","1","0","1","0","15"
"VOLVO AUTO INDIA PVT LTD","5","4","2","3","12","8","1","9","1","45"
"VOLVO CE INDIA PRIVATE LIMITED","2","4","4","5","9","5","6","7","0","42"
"VOLVO GROUP INDIA PVT LTD","0","0","0","0","2","5","3","0","0","10"
"VST ZETOR PVT LTD","0","2","0","0","1","0","0","1","0","4"
"WIRTGEN INDIA PVT LTD","7","6","12","4","4","8","3","3","0","47"
"WUXI MDKA NEW ENERGY (IMPORTER: HESTUR ENERGY)","92","17","62","23","27","26","24","5","0","276"
"WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP)","2","7","3","1","1","0","0","0","0","14"
"WUXI YIZHILING (IMPORTER: BMR EV INDUSTRIES)","0","2","2","0","0","2","0","0","0","6"
"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA","0","0","0","0","0","0","0","1","0","1"
"XUZHOU CONSTRUCTION MACHINERY MANUFACTURING (IND)","0","2","0","0","0","0","0","0","0","2"
"YALAMANCHILI MANUFACTURING PVT LTD","0","0","2","0","0","0","0","2","0","4"
"YC ELECTRIC VEHICLE","1","0","1","1","0","0","0","0","1","4"
"ZELIO E-MOBILITY LTD","1","0","0","0","0","0","0","0","0","1"
"ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO)","1","0","0","0","0","0","0","0","0","1"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","0","0","0","0","0","2","1","1","0","4"
"ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO)","0","0","0","0","0","2","0","0","0","2"
"ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO)","0","1","0","1","0","0","0","1","0","3"
