"Maker and Month Wise Data for Delhi (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"SUPREME SMART POWER PVT LTD","0","0","1","0","0","0","0","0","0","1"
"SUZUKI MOTORCYCLE INDIA PVT LTD","3349","2637","2822","2792","3007","2804","3060","3262","551","24284"
"SWITCH MOBILITY AUTOMOTIVE LTD","102","83","109","57","47","57","68","44","4","571"
"TATA MOTORS LTD","1298","1130","1034","1138","896","922","1178","1355","245","9196"
"TATA MOTORS PASSENGER VEHICLES LTD","2912","2280","2480","2112","1935","1884","1843","1746","279","17471"
"TATA PASSENGER ELECTRIC MOBILITY LTD","451","353","573","471","586","639","679","573","113","4438"
"TERRA MOTORS INDIA PVT LTD","0","0","0","0","1","0","0","0","0","1"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","6","3","10","8","12","7","17","6","1","70"
"THUKRAL ELECTRIC BIKES PVT LTD","46","34","24","26","28","19","40","30","3","250"
"TI CLEAN MOBILITY PVT LTD","19","12","23","14","13","22","30","36","0","169"
"TIVOLT ELECTRIC VEHICLES PVT LTD","15","4","8","5","7","21","21","19","3","103"
"TORK MOTORS PVT LTD","0","0","0","0","0","1","0","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","2388","1499","1482","1461","1562","1632","1459","1219","267","12969"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","5","3","4","6","2","7","3","10","0","40"
"TVS MOTOR COMPANY LTD","14590","10623","12774","11750","12092","11862","13818","13636","2715","103860"
"TWO FRIENDS AUTO ELECTRIC PVT LTD","0","4","5","12","10","12","5","8","2","58"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","11","12","3","10","7","24","40","27","5","139"
"UNIQUE AUTO ELECTRIC","0","0","0","0","4","1","0","0","0","5"
"UNIQUE ENTERPRISES","1","1","4","0","1","1","0","0","0","8"
"UNIQUE INTERNATIONAL EV PVT LTD","0","0","1","10","14","4","1","0","0","30"
"URWASHI ENTERPRISES","3","15","3","0","6","0","0","0","0","27"
"V.V.A.AUTO INDUSTRIES PVT.LTD","1","1","0","0","0","0","0","0","0","2"
"VAHAK FUTURE SOLUTIONS LLP","0","0","0","5","0","0","0","0","0","5"
"VE COMMERCIAL VEHICLES LTD","128","143","124","160","136","150","127","114","16","1098"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","5","1","0","1","0","0","1","5","0","13"
"VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD)","9","10","6","0","1","13","1","7","1","48"
"VICTORY ELECTRIC VEHICLES INTERNATIONAL LTD","0","0","4","0","4","7","2","2","0","19"
"VIJEX STEEL FABRICATION","0","0","3","2","1","1","4","0","0","11"
"VINFAST AUTO INDIA PVT LTD","54","62","84","499","393","409","648","1412","104","3665"
"VISHAL ENTERPRISES","0","3","2","3","8","1","1","4","0","22"
"VOLKSWAGEN AG","6","2","1","1","6","3","1","3","0","23"
"VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"VOLVO","0","0","0","0","1","0","0","0","0","1"
"VOLVO AUTO INDIA PVT LTD","17","8","9","9","9","14","5","4","0","75"
"WARDWIZARD INNOVATIONS & MOBILITY LIMITED","0","0","0","0","0","2","1","1","0","4"
"WUHAN LOTUS (IMPORTER: EXCLUSIVE MOTORS PVT LTD)","0","1","0","0","0","1","0","0","0","2"
"YAARI AUTOMOBILES PVT LTD","0","1","0","0","0","0","0","0","0","1"
"YC ELECTRIC VEHICLE","150","118","143","156","202","120","95","77","12","1073"
"ZAKWILL ELECTRIC VEHICLES PVT LTD","0","1","4","0","0","0","0","0","0","5"
"ZENMO PRIVATE LIMITED","0","0","0","0","1","13","0","0","0","14"
"ZENTHIUM EV PVT LTD","0","0","1","0","2","0","0","0","0","3"
"ZEOPLUS AXIS INDIA PVT. LTD.","0","0","3","10","4","3","0","0","0","20"
"ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO)","1","0","0","0","0","0","0","0","0","1"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","2","2","1","1","2","2","3","1","0","14"
"ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO)","1","0","0","2","1","0","0","0","0","4"
"ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO)","0","0","0","0","1","1","1","0","0","3"
