"Maker and Month Wise Data for Uttar Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"SHALYA AUTO SALES PVT LTD","16","15","17","15","26","27","33","9","2","160"
"SHAMMI ELECTRONICS","5","8","14","5","5","16","8","10","0","71"
"SHAURYAVIRAJ E-VEHICLES","0","0","0","0","0","0","1","3","3","7"
"SHEHALPREET ENGG WORKS","0","1","0","1","1","1","2","0","0","6"
"SHIGAN EVOLTZ LTD","14","4","7","5","0","8","11","8","2","59"
"SHINE METAL UDYOG PVT LTD (UNIT- II)","5","3","7","6","4","3","1","2","0","31"
"SHINME ELECTRICAL VEHICLE PVT LTD","11","15","9","11","10","16","9","9","0","90"
"SHIV ENTERPRISES","1","0","2","1","0","0","1","0","0","5"
"SHIV OM INDIA","14","17","2","15","0","2","4","1","0","55"
"SHIV SHAKTI TRADERS","3","8","3","7","6","7","10","3","1","48"
"SHIVA ENTERPRISES","20","14","22","31","14","20","22","17","3","163"
"SHREE MARUTI NANDAN BUSINESSS (P) LTD","18","9","10","4","4","7","3","0","0","55"
"SHREYA ENGINEERS","2","0","0","0","0","0","0","0","0","2"
"SHRI BARSANA E-VEHICLES PVT LTD","106","125","76","79","95","98","108","86","25","798"
"SHRI NAMO ELECTRIC AUTOMOTIVE","12","14","4","15","10","2","2","0","0","59"
"SHRIRAJ ELECTRIC VEHICLES","2","4","4","7","5","1","3","2","0","28"
"SHUBHMARUTI AGRITECH PVT LTD","0","5","6","0","0","0","0","0","0","11"
"SHUZIA EVEHICLE PVT LTD","0","0","1","6","1","18","19","28","7","80"
"SIDANA INDUSTRIES","40","21","32","58","44","53","84","53","10","395"
"SIDDHARTH INDUSTRIES","11","13","13","12","17","9","8","7","1","91"
"SIMPLEENERGY PVT LTD","5","18","16","8","13","8","19","14","0","101"
"SINGH AUTOMOBILES","116","83","112","140","108","138","144","126","12","979"
"SINGHAL ENTERPRISES","10","7","6","11","10","14","6","11","2","77"
"SIRF INDIA VEHICLES PVT LTD","9","7","17","16","11","6","17","8","3","94"
"SITA ENTERPRISES","0","0","0","5","20","26","48","36","10","145"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","899","751","661","788","648","557","551","414","74","5343"
"SKS TRADE INDIA PVT LTD","293","238","253","264","259","262","345","311","51","2276"
"SM INTERNATIONAL","23","12","37","20","29","34","37","43","2","237"
"SML MAHINDRA LTD","86","110","154","310","165","111","249","182","28","1395"
"SMV GREEN SOLUTIONS PVT LTD","30","20","29","29","39","58","66","48","12","331"
"SN SOLAR ENERGY","7","6","2","5","8","3","7","0","0","38"
"SOKUDO ELECTRIC INDIA PVT LTD","48","29","19","37","28","31","58","39","2","291"
"SPEED AUTO TECH","1","3","2","1","2","2","2","0","0","13"
"SPEEGO VEHICLES CO PVT LTD","62","43","64","59","76","72","78","72","13","539"
"SRD RENEWABLES","115","116","101","110","123","134","138","119","27","983"
"SRP ENTERPRISES","0","0","0","0","0","0","1","4","0","5"
"SSB INDISTRIES","3","1","0","2","1","0","0","4","0","11"
"SSEV ENTERPRISES PRIVATE LIMITED","97","89","64","72","77","112","96","126","15","748"
"STANDARD AGRICULTURE WORKS(R)","0","0","0","0","1","0","0","0","0","1"
"STANDARD CORPORATION INDIA LTD","1","1","0","1","0","1","1","2","2","9"
"STAR BULL E MOTORS","43","38","27","17","28","27","23","19","3","225"
"STAR IGLOBAL AUTOMOTIVE PVT LTD","0","0","1","0","0","1","0","0","0","2"
"STAR INDUSTRIES","7","2","4","6","6","11","3","7","1","47"
