"Maker and Month Wise Data for Telangana (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"RENAULT NISSAN AUTOMOTIVE INDIA PRIVATE LIMITED","268","79","28","10","9","7","3","1","0","405"
"REVOLT INTELLICORP PVT LTD","13","22","18","47","25","26","28","14","4","197"
"RIVER MOBILITY PVT LTD","233","143","55","462","694","535","650","570","91","3433"
"ROLLS ROYCE","1","0","0","0","0","0","0","1","0","2"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","3617","2563","1895","2694","2946","3354","3681","3129","584","24463"
"SAERA ELECTRIC AUTO PVT LTD","1","4","1","0","1","1","0","0","0","8"
"SAI DURGA ENGINEERING WORKS AP213243533","0","0","0","0","1","0","0","0","0","1"
"SAI ENGINEERING","1","5","0","0","0","2","1","0","0","9"
"SAINATH AGRO IND","3","2","10","3","8","7","0","1","0","34"
"SAME DEUTZ - FAHR INDIA (P) LTD.","3","3","4","4","4","5","6","1","0","30"
"SANDEEP INDUSTRIES","7","8","6","2","8","14","2","1","0","48"
"SANY HEAVY IND. CO LTD","0","0","0","0","0","1","0","0","0","1"
"SANY HEAVY INDUSTRY INDIA PVT LTD","1","1","0","1","1","0","1","0","0","5"
"SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED","0","0","0","0","0","0","0","10","0","10"
"SCHWING STETTER INDIA PL","0","0","1","0","0","0","0","0","0","1"
"SHAKTIMINING EQUIPMENT","5","3","3","2","1","1","0","1","0","16"
"SHANKAR INDUSTRIES","0","0","4","3","5","1","0","2","0","15"
"SHIVA GAYATRI ENGG WORKS","0","0","1","1","0","0","0","0","0","2"
"SHREE SHYAM AGROTECH","109","32","15","0","7","6","3","2","0","174"
"SIMPLEENERGY PVT LTD","34","13","6","45","99","67","87","78","15","444"
"SKODA AUTO AS","0","0","0","0","0","0","0","1","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","695","373","464","230","750","593","498","447","89","4139"
"SML MAHINDRA LTD","0","0","1","0","5","14","4","4","0","28"
"SRI AYYAPPA AGRO INDUSTRIES AP1713672081","5","2","1","8","8","1","0","1","0","26"
"SRI BALAJI ENGINEERING WORKS AP35060002020","6","7","10","5","4","6","2","5","0","45"
"SRI BHAVANI ENGINEERING WORKS AP178270824","3","1","5","5","4","6","2","1","0","27"
"SRI KRISHNA ENGINEERING WORKS AP56120542","0","0","1","0","0","1","0","0","0","2"
"SRI LAKSHMI ENGINEERING INDUSTRIES","0","2","0","0","0","0","0","0","0","2"
"SRI LAKSHMI ENGINEERING WORKS AP29073576","12","22","19","25","15","17","3","2","0","115"
"SRI LAKSHMI GANAPATHI ENGG WORKS AP235601381","15","18","23","15","20","17","6","5","0","119"
"SRI MANIKANTA ENGINEERING WORKS,KADAPA AP49604028","10","22","19","7","11","4","3","4","0","80"
"SRI PADMAVATHI ENGINEERING WORKS AP203572915","0","0","2","1","0","1","0","0","0","4"
"SRI SAI AGRO INDUSTRIES AP105380115","3","2","8","4","3","1","0","0","0","21"
