"Maker and Month Wise Data for Punjab (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"MANITOU EQUIPMENT INDIA PVT LTD","0","9","6","9","4","8","4","5","0","45"
"MANKU AGRO TECH PVT LTD","31","67","66","24","15","20","17","43","17","300"
"MARUTI BHIWANI E AUTOMOBILES","0","0","0","0","0","0","2","1","0","3"
"MARUTI SUZUKI INDIA LTD","7082","5429","5787","5674","5348","5801","5122","5630","1056","46929"
"MATHARU AGRO TECH","1","1","2","0","0","1","1","1","0","7"
"MATHARU ENGINEERING AGRI WORKS","0","0","0","0","0","0","0","1","0","1"
"MATHARU ENGINEERING WORKS","1","0","0","0","0","0","0","0","0","1"
"MERCEDES -BENZ AG","1","3","2","5","5","1","2","3","0","22"
"MERCEDES-BENZ INDIA PVT LTD","29","36","30","27","26","30","17","26","4","225"
"MINI METRO EV L.L.P","70","75","111","56","73","118","135","137","16","791"
"MLR AUTO LTD","3","5","5","6","16","5","2","9","1","52"
"N.S. AGRO WORKS","1","0","2","3","0","1","1","3","0","11"
"N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD","65","71","51","71","60","39","76","36","18","487"
"NABHKIRAN AGRO INDUSTRIES","3","4","12","0","0","1","1","0","0","21"
"NAMAH INDUSTRIES PVT LTD","0","0","0","5","7","7","10","7","6","42"
"NARINDERA AGRO WORKS","4","3","0","0","2","3","0","2","0","14"
"NAZAR SINGH & SONS","1","4","2","0","0","2","1","0","0","10"
"ND AGRO TECH","0","0","0","0","0","0","0","1","0","1"
"NEW ARCANA INDIA","9","2","0","2","5","3","0","1","0","22"
"NEW DEVE AGRO WORKS","2","0","0","0","3","0","0","0","2","7"
"NEW DHIMAN AGRO TECH","0","3","0","0","0","0","0","0","0","3"
"NEW GAHIR AGRO INDUSTRIES","8","1","0","0","0","1","0","0","0","10"
"NEW GOBIND AGRO INDUSTRIES","1","1","4","2","1","0","3","2","0","14"
"NEW GURDIAL AGRO INDUSTRIES PVT LTD","4","8","4","7","0","0","0","5","0","28"
"NISSAN MOTOR INDIA PVT LTD","61","62","78","94","72","72","48","70","16","573"
"OBEN ELECTRIC VEHICLES PVT LTD","7","10","11","11","7","8","6","25","0","85"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","194","106","336","407","454","551","539","362","55","3004"
"OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD","1","1","1","0","0","0","0","0","0","3"
"OMEGA SALES & AGRO INDUSTRIES","0","0","0","0","0","0","0","3","0","3"
"OMEGA SEIKI PVT LTD","0","5","2","9","0","0","0","0","0","16"
"OPG Mobility and Power Pvt Ltd","5","1","1","0","0","1","0","1","0","9"
"OXEN ELECTRIC VEHICLES","38","6","9","21","2","21","13","32","0","142"
"PAI MACHINES PVT LTD","0","0","0","0","0","1","3","0","0","4"
"PANESAR AGRICULTURE INDUSTRIES","0","0","0","0","0","0","0","1","0","1"
"PARAS INDUSTRIES","11","5","6","10","2","14","3","5","5","61"
"PARDEEP AGRO INDUSTRIES","1","0","0","1","0","0","0","0","0","2"
"PARI METRO E RICKSHAW","1","6","4","4","1","3","4","8","0","31"
"PATIALA DISCS CORPORATION","0","0","0","0","0","0","0","5","0","5"
"PIAGGIO VEHICLES PVT LTD","113","115","93","105","74","96","94","85","30","805"
"POLARIS INDIA PVT LTD","0","0","2","0","0","0","0","0","0","2"
"PORSCHE AG GERMANY","3","1","2","0","1","1","1","0","0","9"
"PREET AGRO INDUSTRIES PVT LTD","11","21","13","14","20","10","19","29","0","137"
"PREET CONSRUCTION EQUIPMENTS PVT LTD","0","0","0","0","0","5","4","4","2","15"
"PREET TRACTORS PVT LTD","42","47","79","59","43","53","67","42","10","442"
"PRINCE AGRO WORKS","1","1","0","0","0","1","1","0","0","4"
"PUNJAB AGRO IMPLEMENTS INDUSTRIES","2","3","3","3","1","0","0","0","0","12"
"PUNJAB HI-TECH INDUSTRIES","11","2","5","7","5","0","3","3","0","36"
"RAM AGRO INDUSTRIES","0","0","0","0","0","0","1","0","0","1"
"RAM CHAND & SONS","0","1","1","0","0","1","0","3","0","6"
"RAMGARHIA ENGG WORKS","2","5","1","2","1","0","0","1","0","12"
"RAMJI AGRO INDUSTRIES","0","0","0","1","0","0","0","0","0","1"
"RAVINDRA AGRO WORKS","2","3","3","5","3","2","1","5","0","24"
"RAYON ENGINEERS","0","0","2","0","5","0","0","0","0","7"
"RCJ AUTO FORGE PVT LTD","1","0","0","3","2","4","2","3","1","16"
"RENAULT INDIA PVT LTD","47","44","33","41","42","23","32","17","5","284"
"REPUBLIC MOTORS","50","49","1","3","0","4","168","0","0","275"
"RETRO ELECTRIC PVT LTD","0","0","0","1","0","0","0","2","1","4"
"REVOLT INTELLICORP PVT LTD","0","0","3","1","2","2","1","0","1","10"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","4192","3272","3373","3496","2733","3076","3047","3331","634","27154"
"ROYCE EV PVT LTD","64","49","53","70","48","48","107","81","0","520"
"RUPAL AGRO INDUSTRIES","0","0","2","1","0","1","1","3","0","8"
"RUTBA PRODUCT PVT LTD","2","0","1","0","0","2","14","10","6","35"
"S S INDUSTRY","0","0","0","0","4","6","1","0","0","11"
"S.S. MANN ENGINEERING WORKS","0","0","1","0","0","0","0","0","0","1"
"SAERA ELECTRIC AUTO PVT LTD","17","12","5","27","16","24","15","13","9","138"
"SAHNIANAND E VEHICLES PVT LTD","6","7","8","13","18","6","8","12","0","78"
"SAME DEUTZ - FAHR INDIA (P) LTD.","3","5","4","11","8","11","5","9","0","56"
"SANSAR COMBINE","1","4","2","2","0","1","0","3","1","14"
"SANY HEAVY INDUSTRY INDIA PVT LTD","0","1","0","2","1","0","0","0","0","4"
"SATHI MOTORS ELECTRIC VEHICLE PVT LTD","0","1","0","4","4","3","0","4","0","16"
"SATKARTAR AGRO WORKS","1","0","3","0","1","1","2","1","0","9"
"SATNAM ENGG WORKS","1","0","0","1","1","0","0","0","0","3"
"SEALION AUTOMOBILE PVT LTD","0","0","0","0","1","0","0","0","0","1"
"SETH INDUSTRIAL CORPORATION","17","14","19","34","12","28","34","23","6","187"
"SHAKTI AUTO GREEN","0","3","0","0","1","2","1","0","1","8"
"SHAKTIMAN AGRO INDUSTRIES","8","0","2","0","0","3","1","0","0","14"
"SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD","1","0","1","1","7","2","1","3","0","16"
"SHEHALPREET ENGG WORKS","1","0","0","0","0","0","0","1","0","2"
"SHRI BARSANA E-VEHICLES PVT LTD","19","7","12","15","9","15","13","19","0","109"
"SHRI NAMO ELECTRIC AUTOMOTIVE","2","1","0","1","5","0","0","0","0","9"
"SIDANA INDUSTRIES","0","6","2","2","3","9","8","10","4","44"
"SILVER HAWKS VEHICLES PVT LTD","0","0","0","0","0","5","0","0","0","5"
"SIRF INDIA VEHICLES PVT LTD","8","5","0","1","0","0","0","0","0","14"
"SIX SENSES AUTOMOTIVE PVT LTD","0","0","0","1","0","0","0","0","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","405","308","283","265","230","233","204","194","32","2154"
"SKS TRADE INDIA PVT LTD","22","5","16","39","68","35","8","7","6","206"
"SML MAHINDRA LTD","45","23","39","106","74","52","79","50","9","477"
"SOKUDO ELECTRIC INDIA PVT LTD","0","0","0","0","0","0","0","3","0","3"
"SPEEGO VEHICLES CO PVT LTD","2","2","0","0","0","1","0","5","2","12"
"SRP ENTERPRISES","0","0","0","0","3","0","1","2","0","6"
"SSB INDISTRIES","0","0","0","19","7","11","4","11","1","53"
"STANDARD CORPORATION INDIA LTD","3","7","11","7","1","1","1","2","0","33"
"STAR BULL E MOTORS","5","8","1","0","1","0","0","1","0","16"
"STAR SMART BIKES PVT LTD","6","7","2","1","0","9","2","25","1","53"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","42","26","27","18","15","28","24","21","4","205"
"STELLANTIS INDIA PVT LTD","10","9","10","11","7","13","11","10","0","81"
"SUKHDEV AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","1"
"SUN INDUSTRIES","0","0","2","0","0","0","0","0","0","2"
"SUNANDA GREENTECH PVT LTD","6","4","16","3","0","0","0","7","0","36"
"SUPER METRO INDUSTRIES","0","0","0","0","0","7","13","0","4","24"
