"Maker and Month Wise Data for Uttarakhand (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"GREAVES ELECTRIC MOBILITY LTD","39","24","61","71","79","74","168","66","7","589"
"GREEN EVOLVE PVT LTD","0","0","0","0","0","0","0","7","1","8"
"GREENFIT INDUSTRIES LLP","0","5","3","4","3","3","2","3","0","23"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","0","0","0","0","0","0","1","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","1","0","1","0","0","1","1","1","0","5"
"HERO MOTOCORP LTD","4251","3763","3816","4692","4214","4234","4184","4084","618","33856"
"HIRA AGRO INDUSTRIES","0","0","0","0","0","0","0","0","1","1"
"HONDA CARS INDIA LTD","109","68","85","88","72","53","73","79","13","640"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","5392","4408","4485","5663","4957","4655","6115","5213","1090","41978"
"HOTAGE INDIA","0","1","0","0","0","0","1","0","0","2"
"HUNDAL INDUSTRIES","17","10","14","13","14","10","20","16","2","116"
"HYUNDAI MOTOR INDIA LTD","1012","737","604","696","652","522","624","565","140","5552"
"INDIA KAWASAKI MOTORS PVT LTD","11","4","7","6","6","3","13","6","1","57"
"INDIA YAMAHA MOTOR PVT LTD","321","278","275","393","383","285","361","319","43","2658"
"INDIAN MOTORS","3","3","4","3","3","3","2","11","0","32"
"INDO FARM EQUIPMENT LIMITED","0","1","0","3","3","1","3","0","0","11"
"INTERGLOBE ENERGY PVT LTD","0","0","1","0","0","1","0","0","0","2"
"INTERNATIONAL TRACTORS LIMITED","70","57","52","69","64","60","61","62","8","503"
"ISUZU MOTORS INDIA PVT LTD","6","0","0","3","2","5","2","3","1","22"
"J. S. AUTO (P) LTD","7","4","5","1","3","1","1","1","0","23"
"JAGUAR LAND ROVER INDIA LIMITED","5","4","3","5","3","5","7","7","0","39"
"JAGUAR LAND ROVER LIMITED UK","0","1","0","0","0","0","0","0","0","1"
"JCB INDIA LIMITED","47","47","43","46","24","38","38","36","10","329"
"JESSUN TECHNO PVT LTD","1","0","1","0","1","0","0","0","0","3"
"JITENDRA NEW EV-TECH PVT. LTD","0","1","1","0","1","0","1","0","0","4"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","8","11","10","17","17","33","11","15","0","122"
"JS MOBILEON PVT LTD","1","1","1","0","0","0","2","0","0","5"
"JSW MG MOTOR INDIA PVT LTD","32","47","19","66","62","45","61","50","15","397"
"JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD)","1","0","0","0","0","0","0","0","0","1"
"KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP)","2","1","0","0","3","1","2","0","0","9"
"KARTAR TRACTORS PRIVATE LIMITED","0","0","0","0","0","2","0","0","0","2"
"KGN INDUSTRIES","1","0","0","0","0","0","0","0","0","1"
"KHALSAE-VEHICLES PVT LTD","5","6","13","16","5","19","14","21","5","104"
"KIA INDIA PRIVATE LIMITED","511","374","371","438","386","300","371","306","71","3128"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","1","0","0","3","1","0","1","0","0","6"
"KION INDIA PVT LTD","0","1","0","0","0","1","0","0","0","2"
"KLB KOMAKI PVT LTD","1","2","0","5","0","3","6","0","0","17"
"KRISHNA CHAITANYA ENTERPRISES","1","0","1","2","1","2","0","0","0","7"
